zcta,county,population,households,median_hh_income,pct_ba_plus,pct_asian_nh,pct_hispanic,median_age,log_density,owner_occupied_pct,avg_vehicles_per_hh,pct_hh_with_kids,pop_density_per_sqkm,total_vehicles_dmv,bev_pct,hev_pct,phev_pct,pct_new_BEV,avg_vehicle_age,home_charging_proxy,nearest_dcfast_km
93524,Kern,63.0,0.0,,0.0,12.7,36.5,21.8,2.5416019934645457,,,0.0,12.7,132.0,0.0,3.79,0.76,0.0,6.47,,25.53
93526,Inyo,912.0,361.0,61563.0,21.4,0.0,13.6,47.0,0.9555114450274363,73.41,2.04,22.2,2.6,947.0,0.63,4.54,0.42,2.97,7.13,66.76,15.62
93527,Tulare,1801.0,808.0,82667.0,35.9,0.7,9.1,57.1,0.26236426446749106,82.3,2.26,19.6,1.3,1979.0,0.61,4.09,0.71,1.19,7.72,55.57,26.03
93528,Kern,77.0,26.0,,23.4,100.0,0.0,50.1,1.9740810260220096,100.0,2.23,0.0,7.2,132.0,0.0,2.27,0.76,0.0,8.1,100.0,28.09
93529,Mono,209.0,103.0,40703.0,36.6,0.0,0.0,61.2,0.8754687373538999,49.51,1.34,0.0,2.4,788.0,0.51,4.57,1.14,3.06,7.2,49.51,15.79
93530,Inyo,21.0,21.0,,0.0,0.0,0.0,,2.388762789235098,0.0,1.24,0.0,10.9,71.0,0.0,1.41,1.41,0.0,8.61,0.0,22.08
93531,Kern,497.0,215.0,104044.0,52.3,3.2,15.7,64.9,1.7227665977411035,100.0,2.27,11.6,5.6,589.0,4.07,5.6,0.68,14.29,6.83,77.21,14.99
93541,Mono,889.0,313.0,117719.0,70.3,0.0,30.9,38.9,0.0,87.22,2.92,38.3,1.0,577.0,1.73,5.37,0.87,9.09,7.61,87.22,3.88
93545,Inyo,1394.0,671.0,49635.0,13.1,0.4,28.6,48.2,1.62924053973028,57.68,1.71,22.4,5.1,2001.0,1.0,3.65,0.9,5.88,7.74,37.85,5.19
93546,Mono,8803.0,3838.0,96481.0,31.1,2.7,25.9,38.3,2.970414465569701,64.67,1.9,29.5,19.5,9224.0,1.4,4.11,0.86,6.27,7.08,46.48,11.65
93549,Inyo,244.0,137.0,73125.0,9.4,2.9,18.9,60.5,-1.2039728043259361,61.31,2.21,0.0,0.3,367.0,0.27,3.54,0.27,0.0,8.11,40.88,9.82
93554,Kern,102.0,52.0,,8.8,0.0,0.0,70.9,-0.6931471805599453,100.0,1.0,0.0,0.5,22.0,0.0,9.09,0.0,0.0,7.83,100.0,24.83
93555,Kern,33629.0,13073.0,84141.0,30.5,3.6,19.8,35.9,5.080783053998338,62.73,1.86,32.9,160.9,24602.0,1.41,5.41,0.8,6.4,7.48,53.59,2.33
93560,Kern,21537.0,6825.0,76204.0,17.4,2.9,44.7,30.6,3.9589065913269965,78.2,2.13,45.5,52.4,16479.0,2.09,4.59,0.68,9.06,7.26,63.02,23.89
93561,Kern,31179.0,12284.0,86149.0,27.7,2.3,23.8,42.5,3.8155121050473024,78.97,2.27,27.7,45.4,26895.0,2.0,4.6,0.81,8.61,7.35,74.72,3.9
93601,Madera,1248.0,568.0,76429.0,18.7,0.0,12.6,60.0,2.3702437414678603,97.18,2.46,13.9,10.7,1710.0,1.46,3.92,0.47,10.5,7.55,90.14,10.28
93602,Fresno,3091.0,1110.0,74965.0,17.5,0.2,9.9,50.6,2.1041341542702074,84.5,2.37,23.2,8.2,3069.0,0.91,2.67,0.65,5.01,7.36,70.54,38.52
93603,Tulare,177.0,106.0,63125.0,20.9,0.0,0.0,65.6,0.47000362924573563,44.34,1.67,0.0,1.6,116.0,1.72,5.17,0.0,8.33,8.18,25.47,42.42
93604,Madera,518.0,171.0,181375.0,62.0,0.0,15.1,49.0,0.3364722366212129,100.0,2.32,33.9,1.4,550.0,1.45,4.55,0.73,7.41,6.94,91.23,16.07
93605,Fresno,83.0,31.0,,42.9,0.0,7.2,47.6,4.384523514872469,48.39,2.06,16.1,80.2,191.0,2.62,1.05,5.76,13.79,6.4,48.39,38.08
93606,Fresno,1031.0,261.0,40313.0,17.0,10.1,86.7,25.4,8.633321525475393,51.72,2.16,51.7,5615.7,1072.0,0.19,3.26,0.09,1.47,8.2,51.72,7.78
93608,Fresno,879.0,253.0,40583.0,1.8,0.0,96.9,31.7,1.1314021114911006,34.39,1.81,41.9,3.1,729.0,0.27,1.92,0.41,5.26,8.63,26.09,27.58
93609,Fresno,5071.0,1328.0,68454.0,15.6,1.9,68.5,30.7,3.462606009790799,48.64,2.45,52.7,31.9,4913.0,1.06,2.4,0.59,6.51,8.03,43.07,21.33
93610,Madera,24088.0,5639.0,66567.0,16.1,4.5,49.0,35.2,3.529297384289471,54.5,2.16,43.8,34.1,13979.0,1.45,3.41,0.69,6.61,7.61,52.21,0.28
93611,Fresno,46631.0,15534.0,114677.0,39.7,11.4,30.7,39.7,7.371426400154664,73.5,2.21,37.6,1589.9,38139.0,3.11,5.94,1.05,11.91,7.18,72.72,1.72
93612,Fresno,37790.0,13948.0,64079.0,21.4,11.6,41.1,33.2,7.641900438576155,40.91,1.68,37.0,2083.7,24006.0,1.52,4.47,0.67,6.65,7.49,34.79,1.16
93614,Madera,11144.0,4197.0,87393.0,26.6,0.8,14.5,43.8,3.6136169696133895,86.75,2.33,26.7,37.1,10051.0,1.7,4.75,0.87,8.17,7.56,79.03,8.83
93615,Tulare,5665.0,1429.0,61107.0,6.8,1.4,94.9,26.9,4.851248708584797,46.19,2.34,54.9,127.9,3879.0,0.36,1.68,0.31,2.85,8.32,43.39,16.22
93616,Fresno,2173.0,598.0,56667.0,8.3,5.8,86.4,28.3,4.11251186617755,55.35,2.21,59.9,61.1,1925.0,1.19,2.55,0.57,7.95,7.85,52.51,9.19
93618,Tulare,32223.0,8604.0,63190.0,14.0,0.8,86.5,30.0,5.2225156531317545,60.07,2.09,56.2,185.4,23608.0,0.93,2.85,0.47,5.62,7.81,58.41,11.85
93619,Fresno,53381.0,16353.0,138648.0,46.6,15.0,22.9,35.2,4.73795129722191,87.37,2.32,46.3,114.2,44395.0,6.12,7.55,1.53,17.87,6.42,86.49,13.82
93620,Merced,10173.0,3376.0,49890.0,10.9,2.5,72.4,36.1,3.095577608523707,49.91,1.91,38.7,22.1,8225.0,0.77,2.59,0.51,3.71,7.9,46.59,22.14
93621,Fresno,345.0,140.0,149750.0,13.3,4.6,24.9,52.6,0.6418538861723947,100.0,2.14,22.9,1.9,407.0,1.47,3.19,0.49,3.03,7.67,16.43,46.86
93622,Fresno,9683.0,2839.0,46510.0,4.2,0.1,94.0,32.8,2.3513752571634776,45.86,1.78,54.4,10.5,8332.0,0.62,2.65,0.79,2.7,8.13,44.87,19.2
93623,Mariposa,4.0,0.0,,25.0,25.0,75.0,,-2.3025850929940455,,,0.0,0.1,191.0,0.52,3.14,0.52,12.5,8.19,,2.35
93624,Fresno,764.0,186.0,39444.0,0.0,0.0,86.6,37.2,0.9555114450274363,17.2,1.69,44.6,2.6,664.0,0.15,0.75,0.15,1.2,7.82,12.37,18.97
93625,Fresno,8889.0,2841.0,64792.0,25.1,10.2,68.9,35.1,4.9141243937154115,54.66,2.13,43.3,136.2,8127.0,2.3,4.87,0.64,8.49,7.04,53.47,6.34
93626,Madera,3039.0,1132.0,149565.0,46.7,6.1,15.6,38.3,2.4069451083182885,94.52,2.21,31.4,11.1,2371.0,6.16,5.74,1.48,16.91,6.21,81.71,10.7
93627,Fresno,295.0,70.0,85347.0,0.0,0.0,100.0,17.7,1.1631508098056809,0.0,3.09,85.7,3.2,199.0,0.5,2.01,0.5,0.0,7.65,0.0,29.07
93628,Fresno,397.0,218.0,,27.9,7.1,19.4,27.0,1.4350845252893227,17.89,1.12,11.9,4.2,151.0,0.66,4.64,1.32,9.09,8.12,17.89,58.79
93630,Fresno,21352.0,6044.0,60388.0,14.5,5.1,79.2,30.7,3.9454577815143836,51.79,2.2,50.7,51.7,16906.0,1.01,2.66,0.55,5.72,7.7,47.52,21.58
93631,Tulare,16656.0,5804.0,81226.0,21.5,6.0,43.2,40.7,4.373238128640803,70.16,2.03,31.4,79.3,14656.0,1.77,3.92,0.63,7.62,7.28,65.87,4.29
93633,Tulare,32.0,32.0,,100.0,0.0,0.0,,-0.5108256237659907,100.0,4.5,0.0,0.6,23.0,0.0,4.35,0.0,0.0,8.2,100.0,39.54
93634,Fresno,25.0,0.0,,15.0,0.0,28.0,28.2,,,,0.0,0.0,29.0,0.0,0.0,0.0,0.0,10.31,,41.15
93635,Merced,49232.0,14164.0,70666.0,13.2,2.4,72.6,30.6,4.259859000699674,57.62,2.1,44.2,70.8,40633.0,1.91,4.45,0.69,10.07,7.67,55.92,3.2
